Date,Company,Debt/Equity,Revenue Growth %,Net Income,Volatility,News Sentiment,Final Label
2020-06-24,Lucid Group,0.8,-1.7,443M,Medium,0.65,0.56
2020-06-24,Johnson & Johnson,0.4,-8.3,-54M,High,0.06,0.46
2020-06-27,Enphase Energy,1.4,1.3,385M,Medium,0.63,0.47
2020-07-05,Ford Motor Co,1.3,26.5,1025M,Medium,0.49,0.67
2020-07-08,Enphase Energy,0.9,-1.5,127M,High,-0.58,0.27
2020-07-09,Berkshire Hathaway,0.2,13.8,318M,High,-0.84,0.53
2020-07-09,CVS Health,0.3,24.6,345M,Medium,0.59,0.71
2020-07-10,Johnson & Johnson,1.0,16.7,1490M,High,0.5,0.7
2020-07-10,American Express,0.6,-5.5,-7M,Medium,0.06,0.53
2020-07-10,Johnson & Johnson,1.4,11.1,474M,Medium,0.5,0.66
2020-07-17,General Electric,0.8,10.3,169M,Medium,-0.12,0.51
2020-07-24,Morgan Stanley,0.8,13.1,807M,Medium,-0.18,0.62
2020-07-27,Walgreens,0.3,27.0,1823M,Low,0.78,0.84
2020-07-28,Adobe Inc,0.5,26.9,1555M,Low,0.46,0.85
2020-07-29,Microsoft Corp,0.4,1.4,609M,Medium,0.03,0.63
2020-08-04,General Electric,1.0,14.2,932M,Medium,-0.1,0.74
2020-08-16,CVS Health,1.2,19.2,381M,Medium,0.74,0.65
2020-08-17,Oracle Corp,1.9,12.1,1248M,Medium,0.83,0.69
2020-08-17,Starbucks Corp,2.1,4.2,1001M,High,-0.87,0.52
2020-08-21,Intel Corp,0.9,-6.3,6M,High,-0.45,0.39
2020-08-24,AbbVie Inc,0.8,27.3,1223M,Low,0.76,0.83
2020-08-24,Procter & Gamble,1.6,13.4,94M,Medium,0.51,0.48
2020-08-30,NextEra Energy,0.6,12.6,499M,High,-0.13,0.58
2020-09-04,Morgan Stanley,1.3,3.3,176M,Medium,0.86,0.51
2020-09-05,Google LLC,1.4,2.2,268M,Low,0.69,0.61
2020-09-16,UnitedHealth Group,2.6,23.8,158M,High,0.2,0.45
2020-09-18,Verizon Communications,1.1,11.5,626M,Low,0.55,0.72
2020-09-19,Ford Motor Co,0.8,9.7,686M,Medium,0.37,0.69
2020-09-27,Ford Motor Co,1.1,3.1,171M,Medium,0.59,0.53
2020-10-04,Lockheed Martin,0.6,2.2,295M,Low,0.51,0.67
2020-10-10,Twitter Inc,0.4,25.2,1460M,Low,0.37,0.82
2020-10-10,Disney Co,2.0,13.9,781M,Medium,0.47,0.57
2020-10-12,Zoom Video,1.4,15.3,750M,Medium,0.85,0.63
2020-10-12,Pfizer Inc,0.6,2.3,87M,Medium,0.52,0.51
2020-10-19,AbbVie Inc,1.2,14.8,198M,High,-0.43,0.43
2020-10-28,Google LLC,0.2,5.6,299M,Low,0.19,0.59
2020-11-06,Twitter Inc,0.5,5.2,394M,High,-0.25,0.58
2020-11-09,JPMorgan Chase,1.1,1.7,363M,Medium,0.37,0.57
2020-11-09,Coca-Cola Co,1.1,10.1,633M,Low,-0.19,0.7
2020-11-13,Morgan Stanley,1.7,4.3,701M,Medium,0.74,0.61
2020-11-14,American Express,1.3,-1.3,485M,High,0.06,0.42
2020-11-16,Apple Inc,1.1,15.4,732M,Medium,0.52,0.68
2020-11-17,Johnson & Johnson,1.6,-0.4,126M,Medium,0.66,0.37
2020-11-18,NVIDIA Corp,0.4,12.8,983M,Medium,0.75,0.79
2020-11-19,3M Company,0.5,5.6,735M,Medium,0.51,0.7
2020-11-21,Ford Motor Co,0.7,27.2,567M,Medium,0.77,0.84
2020-11-26,3M Company,0.9,13.7,867M,Medium,0.01,0.74
2020-11-29,Coca-Cola Co,0.9,28.3,1006M,Medium,0.75,0.76
2020-11-30,Lockheed Martin,0.4,12.7,58M,Low,-0.38,0.57
2020-12-05,Teladoc Health,0.7,-4.5,-155M,Low,-0.84,0.47
2020-12-06,ConocoPhillips,1.2,23.8,1203M,Low,0.3,0.81
2020-12-09,Spotify Technology,0.4,-6.2,588M,High,-0.42,0.43
2020-12-21,Oracle Corp,0.8,10.3,61M,Medium,0.3,0.57
2020-12-31,AbbVie Inc,0.2,46.1,2576M,Low,0.11,0.89
2021-01-07,Netflix Inc,0.9,19.2,313M,High,0.35,0.54
2021-01-07,Lucid Group,1.1,29.0,1439M,Low,0.56,0.75
2021-01-12,Netflix Inc,0.8,24.2,1632M,Low,0.17,0.8
2021-01-24,PayPal Holdings,0.4,31.0,854M,Low,0.35,0.87
2021-01-24,Verizon Communications,0.4,-3.3,-256M,High,-0.73,0.42
2021-01-27,American Express,0.3,16.3,971M,Medium,0.05,0.79
2021-01-27,NextEra Energy,0.4,23.0,972M,Low,0.44,0.85
2021-02-20,AbbVie Inc,0.9,13.1,351M,High,0.69,0.54
2021-02-20,Merck & Co,0.6,22.1,1374M,Medium,-0.16,0.64
2021-02-22,Walmart Inc,1.0,-5.8,-4M,High,0.18,0.42
2021-02-27,NextEra Energy,1.0,24.8,894M,Low,0.75,0.82
2021-03-06,General Electric,0.8,9.5,181M,High,0.12,0.45
2021-03-09,T-Mobile US,1.3,7.7,297M,Low,0.31,0.55
2021-03-10,McDonald's Corp,0.5,23.6,588M,Medium,0.34,0.65
2021-03-11,Rivian Automotive,0.3,0.9,945M,Medium,-0.04,0.57
2021-03-12,NIO Inc,1.0,18.0,478M,Medium,0.67,0.64
2021-03-13,Chevron Corp,0.5,26.4,970M,Medium,0.59,0.86
2021-03-14,T-Mobile US,1.1,20.5,1862M,Low,0.85,0.82
2021-03-24,Wells Fargo,0.3,-1.5,-1M,High,0.07,0.52
2021-03-29,Chevron Corp,3.3,17.6,1016M,High,-0.18,0.47
2021-03-31,Visa Inc,0.7,11.4,483M,Low,-0.66,0.53
2021-04-01,Google LLC,1.9,8.9,423M,Medium,-0.64,0.48
2021-04-04,Intel Corp,1.7,6.4,485M,Low,-0.26,0.59
2021-04-05,Visa Inc,1.7,-7.0,-194M,Low,-0.2,0.42
2021-04-13,Intel Corp,0.6,8.3,611M,Medium,0.82,0.67
2021-04-13,Amazon.com Inc,0.3,19.2,1292M,High,0.01,0.75
2021-04-14,Tesla Inc,2.0,22.9,1360M,Low,0.79,0.74
2021-04-18,Procter & Gamble,0.6,-0.7,264M,Low,-0.61,0.58
2021-04-19,Anthem Inc,0.5,-9.8,-4M,High,-0.0,0.44
2021-04-21,NIO Inc,1.5,17.2,1787M,High,0.61,0.62
2021-04-25,Merck & Co,0.7,23.9,905M,Low,0.4,0.84
2021-04-29,JPMorgan Chase,0.8,15.7,203M,High,0.8,0.62
2021-05-02,UnitedHealth Group,0.8,36.5,771M,Medium,0.84,0.74
2021-05-03,Airbnb Inc,1.8,4.6,289M,High,-0.25,0.47
2021-05-03,AbbVie Inc,0.8,-12.5,-315M,High,-0.67,0.4
2021-05-05,NVIDIA Corp,0.3,39.1,2436M,Low,0.46,0.88
2021-05-08,Salesforce Inc,0.9,42.6,906M,Low,0.74,0.86
2021-05-12,Ford Motor Co,0.5,23.3,693M,Low,0.54,0.74
2021-05-14,Lockheed Martin,1.1,26.7,699M,Medium,0.7,0.74
2021-05-14,Snap Inc,0.7,20.6,1626M,Low,0.73,0.84
2021-05-16,Berkshire Hathaway,0.4,28.8,472M,Low,0.66,0.76
2021-05-21,Visa Inc,1.4,5.2,53M,Medium,-0.14,0.47
2021-05-22,Berkshire Hathaway,0.8,19.7,237M,Medium,0.66,0.57
2021-05-24,Morgan Stanley,0.7,-6.2,69M,Medium,-0.48,0.45
2021-05-26,Oracle Corp,1.0,26.8,1235M,Low,0.48,0.66
2021-05-29,BlackRock Inc,1.7,19.9,952M,Medium,0.64,0.74
2021-05-29,Netflix Inc,0.6,26.5,345M,Medium,0.72,0.82
2021-05-31,Salesforce Inc,2.2,43.4,553M,High,0.38,0.62
2021-06-01,General Motors,1.0,0.5,258M,Medium,-0.6,0.45
2021-06-05,Meta Platforms Inc,0.5,0.6,1168M,Medium,-0.07,0.61
2021-06-16,PepsiCo Inc,0.7,25.4,346M,Low,0.67,0.73
2021-06-22,Enphase Energy,1.2,5.0,604M,Medium,-0.38,0.5
2021-06-25,Visa Inc,0.3,20.9,1125M,Low,0.53,0.87
2021-06-25,Spotify Technology,1.0,26.1,920M,Low,0.52,0.78
2021-06-25,Salesforce Inc,0.8,13.3,654M,Medium,-0.12,0.6
2021-06-26,AT&T Inc,1.0,-1.5,22M,Low,0.01,0.54
2021-06-27,Airbnb Inc,0.7,16.2,798M,High,0.17,0.68
2021-06-28,Snap Inc,0.7,3.7,384M,Medium,-0.65,0.5
2021-06-30,JPMorgan Chase,0.3,-10.1,389M,High,-0.32,0.39
2021-07-08,Teladoc Health,0.6,-3.7,-116M,Medium,-0.39,0.51
2021-07-11,NIO Inc,1.0,9.5,612M,Medium,0.18,0.67
2021-07-11,Anthem Inc,1.1,-0.2,267M,High,0.33,0.49
2021-07-12,General Electric,1.2,28.5,1757M,Low,0.89,0.92
2021-07-16,3M Company,0.2,10.4,643M,Low,0.07,0.67
2021-07-19,NextEra Energy,0.6,3.5,1158M,High,-0.15,0.54
2021-07-20,AT&T Inc,1.1,-2.7,-265M,Medium,-0.77,0.37
2021-07-23,Goldman Sachs,0.3,3.7,160M,Low,0.6,0.62
2021-07-23,NextEra Energy,1.5,6.1,679M,Low,-0.13,0.51
2021-07-24,Intel Corp,1.4,-5.0,71M,Low,-0.52,0.38
2021-07-24,Lockheed Martin,0.5,11.5,954M,Medium,0.39,0.66
2021-07-25,Caterpillar Inc,0.4,20.3,1745M,Low,0.44,0.8
2021-08-04,Disney Co,1.4,-5.5,139M,Low,-0.75,0.49
2021-08-07,Enphase Energy,1.9,15.0,1162M,High,-0.11,0.57
2021-08-12,3M Company,1.4,8.1,582M,Medium,-0.54,0.61
2021-08-13,Chevron Corp,0.9,14.6,539M,Low,0.72,0.72
2021-08-19,Tesla Inc,0.6,-3.5,-50M,High,-0.68,0.37
2021-08-29,BlackRock Inc,0.4,8.4,1315M,Low,0.4,0.77
2021-08-30,American Express,1.1,27.0,1019M,Low,0.6,0.89
2021-09-11,Microsoft Corp,1.9,11.7,344M,Medium,0.36,0.41
2021-09-14,Anthem Inc,0.9,34.1,163M,High,0.63,0.61
2021-09-17,NVIDIA Corp,0.9,11.4,683M,High,0.08,0.68
2021-09-19,Coca-Cola Co,0.4,-0.6,157M,Medium,-0.19,0.51
2021-09-28,Microsoft Corp,0.4,-11.2,209M,Medium,-0.18,0.46
2021-09-29,Zoom Video,0.3,22.2,768M,Low,0.84,0.73
2021-09-30,PepsiCo Inc,1.1,16.1,788M,High,0.34,0.58
2021-10-06,Moderna Inc,0.3,35.7,375M,Low,0.4,0.75
2021-10-08,Uber Technologies,2.0,41.3,2221M,Medium,-0.15,0.7
2021-10-09,AbbVie Inc,0.4,26.5,1954M,Low,0.59,0.83
2021-10-22,Pfizer Inc,0.5,17.2,400M,High,-0.14,0.46
2021-10-24,Spotify Technology,0.3,12.1,802M,Medium,-0.61,0.63
2021-10-30,Chevron Corp,0.6,11.7,539M,Medium,-0.89,0.53
2021-11-01,American Express,0.3,11.8,431M,Low,-0.58,0.6
2021-11-06,ConocoPhillips,0.7,-1.3,-225M,Low,-0.36,0.46
2021-11-09,Google LLC,2.4,9.2,791M,High,-0.14,0.52
2021-11-13,Target Corp,1.0,3.9,997M,Medium,0.65,0.69
2021-11-14,Airbnb Inc,1.1,16.1,1193M,Low,0.85,0.77
2021-11-18,Walmart Inc,1.1,3.1,268M,Medium,0.33,0.52
2021-11-19,Google LLC,0.3,18.5,1536M,High,0.79,0.65
2021-11-22,PepsiCo Inc,1.4,11.9,852M,Medium,-0.06,0.56
2021-11-27,NIO Inc,1.4,-5.6,-157M,Low,-0.19,0.49
2021-11-27,UnitedHealth Group,0.5,7.9,910M,Medium,-0.73,0.67
2021-11-28,UnitedHealth Group,0.7,13.5,512M,Low,0.7,0.69
2021-12-05,Enphase Energy,0.8,8.1,870M,Medium,0.5,0.67
2021-12-08,Walmart Inc,1.0,-0.2,-111M,Low,-0.2,0.41
2021-12-12,Verizon Communications,0.6,-0.8,503M,Medium,-0.17,0.55
2021-12-13,ConocoPhillips,0.8,25.9,518M,Medium,0.61,0.8
2021-12-15,Intel Corp,0.5,29.2,1948M,Low,0.63,0.84
2021-12-17,Teladoc Health,0.7,19.2,1969M,Medium,0.52,0.76
2021-12-20,Disney Co,1.1,24.7,320M,Low,0.54,0.59
2021-12-21,Walgreens,1.2,26.3,789M,Low,0.46,0.7
2021-12-21,Boeing Co,2.6,5.3,1189M,High,-0.14,0.51
2021-12-25,ConocoPhillips,0.7,-10.0,143M,Medium,0.14,0.52
2021-12-26,Enphase Energy,1.4,16.5,1998M,High,-0.06,0.59
2021-12-28,Mastercard Inc,1.0,12.3,848M,High,0.31,0.67
2022-01-02,Mastercard Inc,0.5,26.0,1141M,Medium,0.55,0.79
2022-01-05,Best Buy,1.1,8.2,37M,Medium,0.19,0.54
2022-01-09,Wells Fargo,0.9,13.6,161M,Medium,0.3,0.57
2022-01-11,Boeing Co,1.7,-10.5,-45M,Medium,-0.9,0.34
2022-01-11,Berkshire Hathaway,0.8,-0.1,-115M,High,-0.42,0.36
2022-01-15,General Electric,1.6,8.0,386M,Medium,0.16,0.5
2022-01-16,Meta Platforms Inc,0.4,23.7,1263M,Medium,0.64,0.83
2022-01-26,Anthem Inc,0.9,30.9,2147M,Medium,0.58,0.82
2022-02-14,Salesforce Inc,1.0,4.4,65M,Medium,0.61,0.53
2022-02-15,Apple Inc,1.0,10.2,126M,Low,0.48,0.62
2022-02-16,Merck & Co,0.9,-3.4,-182M,High,-0.22,0.33
2022-02-17,UnitedHealth Group,0.6,11.1,691M,High,0.37,0.6
2022-02-17,PayPal Holdings,0.7,29.3,1201M,Low,0.73,0.87
2022-02-18,Caterpillar Inc,3.1,9.0,1129M,Medium,-0.07,0.51
2022-02-22,Tesla Inc,0.9,10.0,1195M,Medium,0.66,0.68
2022-02-24,Morgan Stanley,1.3,16.5,2148M,Low,0.8,0.75
2022-02-27,PepsiCo Inc,0.9,19.2,1442M,High,0.4,0.77
2022-03-07,Costco Wholesale,0.9,23.5,1716M,Low,0.7,0.84
2022-03-08,Amazon.com Inc,0.6,15.7,2398M,Medium,0.83,0.78
2022-03-10,AbbVie Inc,1.9,24.4,1373M,Low,0.41,0.66
2022-03-21,Boeing Co,1.0,14.8,298M,High,-0.67,0.53
2022-03-21,Airbnb Inc,2.3,-3.8,242M,High,0.11,0.3
2022-03-23,Visa Inc,1.2,16.9,889M,Low,0.48,0.73
2022-03-27,Home Depot,0.7,9.7,424M,Low,-0.07,0.72
2022-03-28,Coca-Cola Co,1.7,28.8,1210M,Medium,0.43,0.7
2022-03-29,Verizon Communications,2.7,0.4,332M,High,-0.74,0.37
2022-03-31,Lucid Group,1.2,42.8,1678M,Medium,0.09,0.72
2022-04-01,Merck & Co,1.0,12.3,202M,Medium,0.7,0.5
2022-04-06,Uber Technologies,1.3,29.6,413M,Low,0.52,0.73
2022-04-11,Apple Inc,0.3,16.4,123M,Low,0.57,0.7
2022-04-14,Home Depot,0.2,7.4,520M,Medium,0.02,0.64
2022-04-16,Caterpillar Inc,1.3,14.6,836M,Medium,-0.54,0.59
2022-04-21,Lockheed Martin,1.4,10.9,756M,High,0.34,0.65
2022-04-30,General Motors,0.3,23.3,1815M,Low,0.85,0.91
2022-05-01,NVIDIA Corp,0.4,11.9,1081M,Medium,0.76,0.75
2022-05-08,Comcast Corp,1.7,25.3,1138M,Low,-0.02,0.66
2022-05-09,Berkshire Hathaway,0.6,6.1,968M,Medium,-0.05,0.63
2022-05-14,Goldman Sachs,2.8,16.9,1652M,Medium,0.46,0.63
2022-05-20,Spotify Technology,0.8,10.4,49M,Medium,-0.14,0.54
2022-05-23,Caterpillar Inc,1.1,-3.0,289M,High,-0.85,0.42
2022-05-27,Coca-Cola Co,0.7,18.4,1074M,Medium,0.54,0.75
2022-05-30,Airbnb Inc,0.9,17.5,839M,Low,0.81,0.73
2022-06-09,JPMorgan Chase,0.8,11.7,643M,Low,0.78,0.77
2022-06-10,Wells Fargo,1.6,7.5,870M,Medium,0.48,0.65
2022-06-12,Disney Co,1.4,18.1,398M,High,0.76,0.61
2022-06-15,Salesforce Inc,1.8,-2.1,157M,Low,0.75,0.55
2022-06-16,Comcast Corp,1.4,7.6,866M,Low,0.18,0.68
2022-06-18,Uber Technologies,1.5,-3.4,121M,Medium,0.76,0.49
2022-06-21,Costco Wholesale,0.9,12.9,124M,Medium,-0.54,0.45
2022-06-24,American Express,0.4,3.0,763M,Medium,0.31,0.68
2022-06-25,Walgreens,1.3,25.2,359M,Medium,0.45,0.61
2022-06-26,PayPal Holdings,1.2,14.4,632M,Low,-0.31,0.61
2022-07-06,Amazon.com Inc,0.4,26.6,2124M,Low,0.05,0.87
2022-07-07,Square Inc,1.0,5.7,316M,High,0.4,0.58
2022-07-08,UnitedHealth Group,0.3,0.1,57M,Medium,0.47,0.49
2022-07-10,AbbVie Inc,0.5,27.3,938M,Low,-0.17,0.74
2022-07-13,Uber Technologies,1.0,21.5,203M,Low,0.73,0.76
2022-07-17,Starbucks Corp,2.0,19.2,1549M,Low,0.12,0.73
2022-07-18,Apple Inc,0.2,11.9,465M,Medium,0.57,0.7
2022-07-20,Adobe Inc,0.6,28.1,552M,Low,0.75,0.76
2022-07-20,Target Corp,2.2,27.6,1702M,High,0.2,0.67
2022-07-21,NextEra Energy,1.9,21.6,781M,Medium,0.61,0.58
2022-07-23,Square Inc,1.5,-3.5,77M,High,-0.16,0.43
2022-07-24,Snap Inc,3.2,-9.9,30M,High,-0.58,0.23
2022-07-25,Walmart Inc,1.0,30.1,173M,Low,0.0,0.73
2022-08-03,Uber Technologies,0.7,5.3,737M,Low,0.44,0.64
2022-08-04,ConocoPhillips,1.3,8.6,410M,Medium,0.4,0.56
2022-08-09,Netflix Inc,0.5,10.3,958M,Medium,0.54,0.68
2022-08-10,Moderna Inc,0.4,-1.1,78M,Medium,0.58,0.56
2022-08-10,3M Company,0.6,14.4,1300M,Low,-0.4,0.77
2022-08-10,General Electric,1.3,5.0,597M,High,0.44,0.55
2022-08-17,Walgreens,0.8,21.2,1389M,Low,0.44,0.87
2022-08-19,General Motors,0.3,-5.5,2M,Low,-0.19,0.53
2022-08-21,Comcast Corp,0.3,20.5,2081M,Low,-0.19,0.78
2022-08-21,Amazon.com Inc,1.0,-0.5,110M,Low,0.19,0.5
2022-08-25,Pfizer Inc,0.6,-6.0,-32M,Medium,0.03,0.49
2022-08-27,Spotify Technology,0.3,0.3,1243M,High,-0.09,0.68
2022-08-27,AT&T Inc,0.7,21.4,850M,Low,-0.02,0.8
2022-08-31,Oracle Corp,0.4,29.6,1075M,Low,-0.13,0.73
2022-09-03,Apple Inc,0.4,12.4,167M,Medium,0.79,0.67
2022-09-19,Johnson & Johnson,1.1,21.3,1552M,Medium,-0.07,0.68
2022-09-21,General Motors,0.3,29.9,858M,Low,0.44,0.79
2022-09-21,Google LLC,2.1,2.5,288M,High,-0.06,0.49
2022-09-26,Berkshire Hathaway,0.7,10.5,940M,Medium,-0.74,0.64
2022-09-27,Johnson & Johnson,0.7,20.4,219M,Low,0.53,0.81
2022-09-27,Amazon.com Inc,0.5,14.3,334M,Medium,-0.12,0.55
2022-10-07,Adobe Inc,0.4,-7.2,284M,Low,-0.79,0.58
2022-10-09,Target Corp,1.0,23.9,729M,Low,0.89,0.73
2022-10-09,Chevron Corp,0.9,-14.4,89M,High,-0.88,0.34
2022-10-17,CVS Health,0.5,29.1,2379M,Low,0.49,0.85
2022-10-22,Wells Fargo,1.1,1.4,1148M,Medium,0.75,0.66
2022-10-26,AT&T Inc,0.4,12.0,791M,Medium,0.17,0.65
2022-11-01,Lucid Group,0.4,19.2,1240M,Low,0.44,0.81
2022-11-04,Teladoc Health,0.4,-4.3,50M,High,0.69,0.52
2022-11-05,Zoom Video,0.8,6.5,52M,Medium,0.77,0.53
2022-11-06,Salesforce Inc,0.7,21.8,90M,Low,0.35,0.69
2022-11-08,Merck & Co,0.7,13.1,432M,High,0.79,0.6
2022-11-12,Ford Motor Co,0.7,21.8,456M,Medium,-0.16,0.57
2022-11-24,Morgan Stanley,0.9,3.2,827M,Medium,0.74,0.63
2022-11-27,Starbucks Corp,0.6,3.4,40M,High,0.58,0.47
2022-12-19,Moderna Inc,0.2,24.3,938M,Medium,0.63,0.75
2022-12-29,Pfizer Inc,0.6,7.3,125M,Medium,-0.27,0.59
2023-01-03,Uber Technologies,1.2,11.1,331M,Medium,0.58,0.62
2023-01-07,T-Mobile US,0.7,21.3,1768M,Medium,0.13,0.72
2023-01-09,AT&T Inc,2.3,11.4,688M,High,-0.27,0.49
2023-01-10,Rivian Automotive,1.3,20.9,632M,Low,0.57,0.73
2023-01-11,Salesforce Inc,0.6,22.5,904M,Low,0.72,0.91
2023-01-16,Lockheed Martin,0.5,-4.2,-2M,Medium,0.06,0.41
2023-01-20,Berkshire Hathaway,1.0,11.7,808M,Medium,0.39,0.68
2023-01-22,Tesla Inc,0.7,15.7,1406M,Medium,-0.02,0.78
2023-01-29,Airbnb Inc,0.8,8.3,914M,High,0.62,0.57
2023-01-30,Bank of America,0.6,28.5,147M,Medium,-0.07,0.57
2023-02-03,Enphase Energy,0.5,6.2,1232M,Low,-0.14,0.78
2023-02-04,CVS Health,1.2,2.8,72M,Medium,-0.39,0.47
2023-02-05,ConocoPhillips,0.6,-3.6,-41M,Low,-0.22,0.45
2023-02-07,CVS Health,0.5,36.0,2258M,Medium,0.72,0.75
2023-02-07,Microsoft Corp,1.3,-4.3,79M,Medium,-0.27,0.49
2023-02-09,Airbnb Inc,1.2,10.1,28M,High,-0.66,0.39
2023-02-12,Microsoft Corp,0.7,-1.1,216M,High,0.07,0.53
2023-02-15,Pfizer Inc,0.6,-9.6,104M,High,-0.17,0.42
2023-02-18,Walmart Inc,0.7,15.7,1969M,Low,0.73,0.77
2023-02-22,Microsoft Corp,0.6,15.5,347M,Medium,0.83,0.69
2023-02-23,Visa Inc,0.6,22.4,1434M,Medium,0.78,0.8
2023-03-01,American Express,2.0,7.5,441M,Medium,0.17,0.51
2023-03-07,Walmart Inc,0.9,2.8,51M,Medium,-0.11,0.47
2023-03-13,PepsiCo Inc,0.7,19.5,1629M,Low,0.67,0.86
2023-03-21,Anthem Inc,0.4,31.3,1782M,Low,0.46,0.87
2023-03-26,Meta Platforms Inc,0.9,-2.1,208M,Medium,-0.53,0.49
2023-03-26,Morgan Stanley,0.8,13.6,262M,Medium,0.08,0.61
2023-03-28,Morgan Stanley,1.4,-0.4,-29M,Medium,0.06,0.43
2023-03-31,Meta Platforms Inc,1.7,13.5,101M,Low,-0.21,0.6
2023-03-31,Google LLC,0.5,22.0,1933M,Low,-0.04,0.8
2023-04-07,Snap Inc,0.5,31.6,1592M,Low,-0.01,0.81
2023-04-10,Chevron Corp,1.0,50.0,252M,Low,0.46,0.82
2023-04-11,General Motors,2.6,11.3,83M,High,0.71,0.5
2023-04-13,General Electric,0.9,10.1,832M,Medium,0.57,0.65
2023-04-20,Berkshire Hathaway,0.9,27.1,461M,Medium,0.3,0.63
2023-04-27,Google LLC,0.9,27.9,144M,Low,0.13,0.65
2023-05-03,Anthem Inc,0.8,16.6,502M,Low,0.02,0.66
2023-05-05,Lockheed Martin,0.6,17.3,1028M,Medium,-0.02,0.82
2023-05-06,Intel Corp,0.6,25.0,1825M,Low,0.51,0.77
2023-05-06,General Electric,1.5,40.7,1417M,Low,0.73,0.85
2023-05-07,Anthem Inc,0.4,10.5,588M,Medium,-0.14,0.61
2023-05-09,Meta Platforms Inc,0.8,9.0,686M,Medium,-0.1,0.65
2023-05-12,Disney Co,1.5,37.3,108M,Low,0.48,0.54
2023-05-17,Google LLC,0.8,-4.8,349M,Low,-0.37,0.6
2023-05-21,Moderna Inc,0.6,-4.7,292M,Medium,-0.16,0.59
2023-05-21,AbbVie Inc,1.3,24.6,568M,Low,0.08,0.67
2023-05-23,Mastercard Inc,0.5,15.3,490M,High,0.77,0.62
2023-05-26,Berkshire Hathaway,1.1,6.8,431M,Low,0.79,0.64
2023-06-01,Visa Inc,0.5,12.8,235M,Low,0.45,0.64
2023-06-01,Bank of America,0.6,4.0,120M,Low,0.08,0.59
2023-06-02,PayPal Holdings,1.5,25.9,1215M,Low,-0.18,0.72
2023-06-06,AT&T Inc,0.6,17.5,1198M,Low,0.64,0.76
